City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
160,myeik,12.4333,98.6,84.34,77,100,2.98,MM,1716857125
161,georgetown,5.4112,100.3354,85.93,83,20,5.75,MY,1716857052
162,inarajan village,13.2736,144.7484,88.39,82,40,12.57,GU,1716857127
163,port elizabeth,-33.918,25.5701,50.29,100,0,2.3,ZA,1716856850
164,zaozersk,69.4005,32.4476,36.59,76,100,15.55,RU,1716857129
165,ciudad bolivar,8.1222,-63.5497,86.99,60,100,1.7,VE,1716857130
166,san antonio de pale,-1.4014,5.6325,79.45,78,50,3.56,GQ,1716857132
167,gore,-46.1028,168.9436,54.34,77,56,6.51,NZ,1716857133
168,kavaratti,10.5669,72.642,80.42,89,100,20.98,IN,1716857135
169,comodoro rivadavia,-45.8667,-67.5,55.26,41,0,17.27,AR,1716857136
170,shalya,57.2471,58.7298,46.18,82,83,13.69,RU,1716857137
171,puerto ayacucho,5.6639,-67.6236,75.81,93,60,0.51,VE,1716857138
172,uturoa,-16.7333,-151.4333,81.1,74,54,22.21,PF,1716857139
173,acarau,-2.8856,-40.12,78.6,84,3,9.13,BR,1716857141
174,buncrana,55.1333,-7.45,49.89,93,100,5.68,IE,1716857143
175,mcpherson,38.3708,-97.6642,82.49,49,1,8.93,US,1716857144
176,watseka,40.7762,-87.7364,71.51,69,0,9.57,US,1716857145
177,corinto,37.9407,22.9573,63.12,42,0,3.94,GR,1716857146
178,port mathurin,-19.6833,63.4167,77.4,87,8,14.65,MU,1716857147
179,al bardiyah,31.7561,25.0865,65.7,68,85,13.85,LY,1716857148
180,yamada,39.4667,141.95,60.37,83,100,2.46,JP,1716857150
181,wynyard,-41.0,145.7167,60.21,77,100,7.76,AU,1716857151
182,tofol,5.3248,163.0078,87.58,70,75,9.22,FM,1716857152
183,santa vitoria do palmar,-33.5189,-53.3681,55.69,94,100,23.24,BR,1716857153
184,tarawa,1.419,172.984,89.69,70,20,13.8,KI,1716857154
185,st. john's,47.5649,-52.7093,36.16,89,20,2.3,CA,1716857117
186,anatuya,-28.4606,-62.8347,44.22,65,0,5.55,AR,1716856874
187,vilyuchinsk,52.9306,158.4028,53.87,75,21,6.71,RU,1716857157
188,dapaong,10.8639,0.205,83.57,52,100,5.17,TG,1716857158
189,jeddah,21.5169,39.2192,78.66,73,0,4.61,SA,1716857160
190,flying fish cove,-10.4217,105.6791,80.28,89,75,8.05,CX,1716857161
191,tazacorte,28.629,-17.9293,67.17,83,100,13.8,ES,1716857162
192,at taj,24.2049,23.2857,76.32,26,88,9.01,LY,1716857163
193,howard springs,-12.497,131.047,84.11,69,96,9.24,AU,1716857164
194,antalaha,-14.9003,50.2788,68.65,85,10,8.84,MG,1716857165
